player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Andre Jackson Jr.,SG,22,MIL,13,3,8.8,0.8,1.3,0.588,0.3,0.6,0.5,0.5,0.7,0.667,0.706,0,0,0,0.6,0.8,1.4,0.8,0.2,0,0.5,1.7,1.8
Gregory Jackson II,PF,19,MEM,3,0,2.3,0,1.3,0,0,0.7,0,0,0.7,0,0,0,0,0,0.3,0.7,1,0,0.3,0,0.3,0,0
Isaiah Jackson,C,22,IND,8,0,14.5,1.9,3.6,0.517,0,0.1,0,1.9,3.5,0.536,0.517,1.8,2.6,0.667,1.9,2.6,4.5,0.9,0.5,2.1,0.5,3.3,5.5
Jaren Jackson Jr.,C,24,MEM,16,16,31.3,6.4,15.5,0.411,1.5,5.1,0.296,4.9,10.4,0.467,0.46,5.2,6.4,0.814,1.8,4.3,6.1,1.9,0.6,1.6,1.9,3.4,19.4
Reggie Jackson,PG,33,DEN,17,10,25.8,4.6,9.8,0.47,1.5,3.8,0.385,3.1,5.9,0.525,0.545,0.9,1.3,0.682,0.4,2,2.4,4,0.8,0.4,1.8,1.8,11.5
Trayce Jackson-Davis,PF,23,GSW,13,0,7.8,0.9,1.7,0.545,0,0,0,0.9,1.7,0.545,0.545,1.2,1.9,0.6,0.8,0.9,1.8,0.5,0.2,0.5,0.5,1.4,3
LeBron James,PF,39,LAL,16,16,33.9,9.5,17,0.559,2.3,6,0.385,7.2,11,0.653,0.627,4.2,6.1,0.691,0.8,7.3,8,6.6,1.5,0.8,3.8,1.3,25.5
Jaime Jaquez Jr.,SF,22,MIA,17,4,25.8,4.5,8.9,0.507,1.3,3.2,0.4,3.2,5.7,0.567,0.579,0.8,1,0.824,1.3,2.5,3.8,2.4,1.1,0.2,1.5,2.2,11.2
DaQuan Jeffries,SG,26,NYK,6,0,3,0.5,1.3,0.375,0.2,0.7,0.25,0.3,0.7,0.5,0.438,0,0.3,0,0,0.5,0.5,0.2,0,0,0.2,0.2,1.2
Ty Jerome,SG,26,CLE,2,0,7.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,0,0.5,0,0.5,1.5,0,0,0.5,1,2
Isaiah Joe,SG,24,OKC,16,0,20.5,3.5,7.6,0.463,2.9,6.1,0.485,0.6,1.5,0.375,0.657,1.1,1.4,0.818,0.1,2.1,2.2,1.1,0.8,0.2,0.6,1.3,11.1
Cameron Johnson,PF,27,BRK,9,9,29.6,5.4,11.8,0.462,2.4,6.4,0.379,3,5.3,0.563,0.566,1.6,1.9,0.824,1.6,3.9,5.4,3,1.1,0.1,1.4,1.9,14.9
Jalen Johnson,SF,22,ATL,15,12,29.9,5.7,9.5,0.594,1.1,2.7,0.425,4.5,6.9,0.66,0.654,1.7,2.2,0.758,1.3,5.9,7.3,2.4,1.1,1,2,2.2,14.1
Keldon Johnson,SF,24,SAS,16,16,32.8,6.3,13.4,0.465,2,5.8,0.348,4.3,7.7,0.553,0.54,2.1,2.9,0.702,1,5.2,6.2,4.3,0.8,0.3,1.2,2.6,16.6
Keyontae Johnson,SF,23,OKC,1,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Jokić,C,28,DEN,17,17,33.8,11.4,20,0.568,1.4,4.4,0.311,10,15.6,0.639,0.601,4.8,6,0.794,3.3,10.1,13.4,8.9,1.2,0.8,3.2,2.5,28.8
Colby Jones,SG,21,SAC,8,0,8.6,1.5,3.3,0.462,0.1,0.9,0.143,1.4,2.4,0.579,0.481,0.3,0.4,0.667,0.6,1,1.6,0.3,0.3,0.1,0.4,1.1,3.4
Damian Jones,C,28,CLE,10,0,5.1,0.4,0.8,0.5,0,0,0,0.4,0.8,0.5,0.5,0.1,0.2,0.5,0.4,0.6,1,0.3,0.1,0.2,0.3,0.3,0.9
Derrick Jones Jr.,SF,26,DAL,16,16,21.6,3,6.4,0.471,1.4,3.8,0.367,1.6,2.6,0.619,0.578,0.9,1.3,0.7,0.9,2.6,3.4,1,0.5,0.8,0.9,1.4,8.3
Herbert Jones,SF,25,NOP,14,14,30.7,3.9,7.6,0.514,1.1,3.3,0.348,2.8,4.4,0.639,0.589,2.6,3,0.857,0.7,3.4,4.1,2.9,1.9,1.5,1.4,3.8,11.6
Tre Jones,PG,24,SAS,14,0,24,3.1,7.1,0.434,0.5,2,0.25,2.6,5.1,0.507,0.47,1.4,1.6,0.909,0.6,2.4,3,5.1,0.9,0.3,1.4,1.3,8.1
Tyus Jones,PG,27,WAS,16,16,27.3,4.7,9.4,0.5,1.1,3.1,0.34,3.6,6.3,0.58,0.557,0.4,0.6,0.778,0.3,2.4,2.8,4.9,0.9,0.1,0.8,0.9,10.9
DeAndre Jordan,C,35,DEN,2,0,12.5,1.5,1.5,1,0,0,0,1.5,1.5,1,1,0.5,2.5,0.2,1,2.5,3.5,1,0,0,1,2.5,3.5
Cory Joseph,PG,32,GSW,7,0,9,0.7,2.7,0.263,0.6,2,0.286,0.1,0.7,0.2,0.368,0.1,0.4,0.333,0.3,0.3,0.6,1.9,0.4,0.1,0.7,1,2.1
