player,position,age,team,month,year,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Grayson Allen,SG,28,PHO,December,2023,24,24,33.3,4.4,9,0.488,2.5,5.4,0.454,2,3.6,0.54,0.624,1.7,1.9,0.891,0.9,3.6,4.5,2.7,1,0.5,1.4,2.4,13
Greg Brown III,PF,22,DAL,December,2023,5,0,5.6,0.4,1.2,0.333,0,0.2,0,0.4,1,0.4,0.333,0.8,1.8,0.444,0.4,1,1.4,0.6,0,0.2,0.6,0.6,1.6
Gregory Jackson II,PF,19,MEM,December,2023,4,0,4.8,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0,0,0,0.3,0.5,0.8,0,0.3,0.3,0.3,0.5,2
Gui Santos,PF,21,GSW,December,2023,4,0,5.5,1,1.8,0.571,0.3,0.8,0.333,0.8,1,0.75,0.643,1,1,1,1,1,2,0.3,0,0,0.5,0.8,3.3
Harrison Barnes,PF,31,SAC,December,2023,28,28,30.8,4,8.2,0.487,1.8,4.5,0.4,2.2,3.8,0.59,0.596,2,2.5,0.826,0.9,2.3,3.1,1.4,0.7,0.2,0.7,1.2,11.8
Harry Giles,C,25,BRK,December,2023,8,0,5.5,1.8,3,0.583,0.1,0.6,0.2,1.6,2.4,0.684,0.604,0.6,0.9,0.714,0.6,0.6,1.3,0.1,0.1,0.3,0.3,0.6,4.3
Haywood Highsmith,PF,27,MIA,December,2023,19,14,21.1,2.3,5.4,0.422,1.1,3.3,0.339,1.2,2.1,0.55,0.525,0.6,0.8,0.75,0.9,1.9,2.8,1.5,1.1,0.6,0.9,2.2,6.3
Herbert Jones,SF,25,NOP,December,2023,27,27,29.6,3.7,7.9,0.467,1.1,3.3,0.326,2.6,4.6,0.568,0.535,2.3,2.7,0.863,1.3,2.7,4,2.7,1.5,1,1.3,3.2,10.8
Hunter Tyson,PF,23,DEN,December,2023,8,0,2.5,0.1,0.5,0.25,0,0.4,0,0.1,0.1,1,0.25,0,0,0,0,0.6,0.6,0.1,0,0,0,0.6,0.3
Immanuel Quickley,SG,24,NYK,December,2023,28,0,23.8,5,11.3,0.448,2,5.4,0.38,3,5.9,0.509,0.538,2.8,3.2,0.865,0.2,2.5,2.7,2.5,0.6,0.1,1,1.4,14.9
Isaac Okoro,SF,23,CLE,December,2023,21,10,25.4,2.9,5.9,0.484,0.9,2.4,0.353,2,3.5,0.575,0.556,1.2,1.9,0.65,1.4,2.1,3.5,2.1,0.9,0.4,0.7,2.2,7.8
Isaiah Hartenstein,C,25,NYK,December,2023,29,3,21.4,2.5,4.1,0.605,0,0.1,0.333,2.4,4,0.612,0.609,1.3,2,0.667,3.2,3.6,6.8,1.4,0.8,0.9,0.9,2.8,6.3
Isaiah Jackson,C,22,IND,December,2023,20,1,14.2,3,4.5,0.656,0,0.1,0,3,4.4,0.67,0.656,1.3,1.8,0.694,1.6,2.8,4.4,1,0.6,1.4,0.5,2.9,7.2
Isaiah Joe,SG,24,OKC,December,2023,27,0,20.6,3.1,7.3,0.431,2.3,5.6,0.414,0.8,1.7,0.489,0.591,1,1.2,0.844,0.2,2.2,2.4,1.1,0.8,0.4,0.6,1.2,9.6
Isaiah Livers,PF,25,DET,December,2023,14,1,19.9,1.5,5.5,0.273,0.9,3.7,0.231,0.6,1.8,0.36,0.351,0.6,0.8,0.727,0.5,1.7,2.2,1.1,0.6,0.1,0.8,1.6,4.4
Isaiah Mobley,PF,24,CLE,December,2023,3,0,4.7,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0,0,0,0,0.7,0.7,1.3,0.3,0,0.3,0.7,1.7
Isaiah Stewart,PF,22,DET,December,2023,27,27,30.5,3.9,8.2,0.477,1.4,3.6,0.396,2.5,4.7,0.54,0.563,1.2,1.6,0.767,1.8,5.1,6.9,1.6,0.3,0.6,1.6,2.6,10.5
Ish Smith,PG,35,CHO,December,2023,21,1,16.6,1.7,3.3,0.514,0.1,0.2,0.5,1.6,3.1,0.515,0.529,0.1,0.1,1,0.3,1.2,1.5,3,0.3,0.1,1.3,1,3.6
Ish Wainright,SF,29,POR,December,2023,3,0,3,0.3,0.7,0.5,0.3,0.7,0.5,0,0,0,0.75,0,0,0,0,0.3,0.3,0,0.3,0,0,0.7,1
Ivica Zubac,C,26,LAC,December,2023,29,29,26.5,5.2,8.2,0.634,0,0,0,5.2,8.2,0.634,0.634,1.7,2.7,0.628,3.1,6,9.1,1.1,0.2,1.4,1.1,2.8,12.1
Ja Morant,PG,24,MEM,December,2023,3,3,35,11,21.7,0.508,0.7,3.7,0.182,10.3,18,0.574,0.523,5.3,6.3,0.842,1,4.7,5.7,9,1,0.7,3.3,1,28
Jabari Smith Jr.,PF,20,HOU,December,2023,27,27,30.6,5.2,10.5,0.498,1.7,4.4,0.387,3.5,6.1,0.579,0.58,1.8,2.3,0.803,2,6.8,8.9,1.7,0.5,0.9,1.2,3.1,14
Jabari Walker,SF,21,POR,December,2023,28,0,17.8,2.7,5.8,0.466,0.5,1.9,0.264,2.2,3.9,0.564,0.509,1.3,1.8,0.755,1.7,3.4,5.1,0.7,0.7,0.4,0.9,2.2,7.3
Jacob Gilyard,PG,25,MEM,December,2023,19,8,15.7,1.3,3.1,0.414,1.1,2.6,0.429,0.2,0.5,0.333,0.595,0.1,0.1,1,0.3,0.7,1.1,3.1,0.6,0.1,0.7,1,3.7
Jacob Toppin,SF,23,NYK,December,2023,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Jaden Hardy,SG,21,DAL,December,2023,26,1,13.9,2.4,6.8,0.358,1.2,3.4,0.341,1.3,3.4,0.375,0.443,0.8,1.3,0.667,0.3,1.6,1.9,1.5,0.4,0,0.7,1.2,6.8
Jaden Ivey,SG,21,DET,December,2023,25,9,25,4.4,9.5,0.462,1,3.3,0.301,3.4,6.2,0.548,0.515,2.8,3.5,0.793,0.8,2.4,3.2,3,0.8,0.6,2.1,2.7,12.6
Jaden McDaniels,SF,23,MIN,December,2023,18,17,26.3,4.7,8.3,0.56,1.2,3,0.389,3.5,5.3,0.656,0.63,0.5,0.7,0.692,0.7,1.8,2.4,1.2,0.7,0.5,0.9,3.3,11
Jaden Springer,SG,21,PHI,December,2023,18,0,9.4,1.2,3.2,0.379,0.3,0.9,0.294,0.9,2.3,0.415,0.422,0.7,0.9,0.75,0.8,0.7,1.4,0.9,0.6,0.4,0.8,1.4,3.4
Jae Crowder,PF,33,MIL,December,2023,9,2,26.7,2.8,5.2,0.532,1.8,3.4,0.516,1,1.8,0.563,0.702,0.8,1.3,0.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Jae'Sean Tate,SF,28,HOU,December,2023,25,0,17.5,1.9,4.2,0.462,0.6,1.7,0.326,1.4,2.4,0.557,0.529,0.4,0.6,0.714,1.1,2.6,3.6,1.1,0.8,0.2,0.5,2.4,4.8
Jaime Jaquez Jr.,SF,22,MIA,December,2023,30,7,28.9,5.3,10.3,0.516,1.1,2.9,0.379,4.2,7.4,0.57,0.57,2,2.3,0.857,1.3,2.6,3.9,2.5,1,0.3,1.6,2.5,13.7
Jake LaRavia,PF,22,MEM,December,2023,8,0,12.4,1.4,4,0.344,0.4,2.5,0.15,1,1.5,0.667,0.391,0.1,0.3,0.5,0.6,0.8,1.4,0.6,0.1,0,0.5,1.9,3.3
Jakob Poeltl,C,28,TOR,December,2023,29,29,25.9,4.8,6.8,0.706,0,0,0,4.8,6.8,0.706,0.706,1,2,0.509,2.7,5.2,8,2.3,0.7,1.1,1.6,2.7,10.6
Jalen Brunson,PG,27,NYK,December,2023,29,29,35.6,9.3,19.4,0.48,2.9,6.4,0.459,6.4,13,0.491,0.556,4.5,5.6,0.804,0.7,3.2,4,5.9,1.1,0.1,2.2,2,26.1
Jalen Duren,C,20,DET,December,2023,14,13,28.9,5.7,9.1,0.63,0,0.1,0,5.7,8.9,0.64,0.63,1.1,2,0.571,3.4,7.6,10.9,2.5,0.6,1.4,2.7,3.4,12.6
Jalen Green,SG,21,HOU,December,2023,27,27,30.5,5.6,14.2,0.396,1.9,5.9,0.325,3.7,8.3,0.446,0.464,3.9,4.8,0.822,0.4,4.1,4.5,3.1,0.6,0.4,2.4,1.5,17.1
Jalen Hood-Schifino,SG,20,LAL,December,2023,5,0,10.4,0.8,3.6,0.222,0.2,1.6,0.125,0.6,2,0.3,0.25,1,2,0.5,0.2,1,1.2,0.8,0,0.2,0.8,1.4,2.8
Jalen Johnson,SF,22,ATL,December,2023,15,12,29.9,5.7,9.5,0.594,1.1,2.7,0.425,4.5,6.9,0.66,0.654,1.7,2.2,0.758,1.3,5.9,7.3,2.4,1.1,1,2,2.2,14.1
Jalen McDaniels,SF,26,TOR,December,2023,17,0,8.4,0.8,2.9,0.28,0.3,1.5,0.2,0.5,1.5,0.36,0.33,0.1,0.1,1,0.2,0.9,1.2,0.5,0.3,0.2,0.4,0.8,2.1
Jalen Pickett,SG,24,DEN,December,2023,12,0,6.4,0.8,1.8,0.476,0.5,1.3,0.4,0.3,0.5,0.667,0.619,0.2,0.2,1,0.1,0.8,0.8,0.7,0.3,0,0.5,0.6,2.3
Jalen Slawson,SF,24,SAC,December,2023,5,0,3.8,0.4,0.6,0.667,0,0.2,0,0.4,0.4,1,0.667,0,0,0,0,0.8,0.8,0.4,0,0.2,0.4,0.6,0.8
Jalen Smith,C,23,IND,December,2023,16,0,14.9,3.8,5.3,0.726,1.2,1.7,0.704,2.6,3.6,0.737,0.839,1.3,1.8,0.714,1.4,3.8,5.2,0.8,0.3,0.3,1.1,2.3,10.1
Jalen Suggs,SG,22,ORL,December,2023,24,24,26,4.4,9.3,0.471,1.7,4.5,0.374,2.7,4.8,0.56,0.561,2,2.4,0.828,0.6,2.9,3.5,2.5,1.6,0.6,1.9,2.7,12.4
Jalen Williams,PF,22,OKC,December,2023,24,24,32.1,6.6,13.1,0.505,1,2.9,0.357,5.6,10.2,0.547,0.544,3.1,3.5,0.882,0.4,3.7,4.1,3.8,0.9,0.3,1.7,2.7,17.4
Jalen Wilson,PF,23,BRK,December,2023,8,0,7.1,0.9,1.4,0.636,0.3,0.4,0.667,0.6,1,0.625,0.727,0.5,0.5,1,0.5,0.8,1.3,0.6,0.1,0.1,0.3,0.6,2.5
Jamal Cain,PF,24,MIA,December,2023,9,0,14.4,1.4,3.4,0.419,0.4,1.7,0.267,1,1.8,0.563,0.484,1.1,1.7,0.667,0.7,1.2,1.9,0.1,0.7,0.3,0.2,1.1,4.4
Jamal Murray,PG,26,DEN,December,2023,18,18,29.7,7.3,15.6,0.47,2.4,5.4,0.449,4.9,10.2,0.481,0.548,2.7,2.9,0.906,0.6,3.4,4,5.7,0.8,0.8,1.8,2,19.8
Jamaree Bouyea,PG,24,POR,December,2023,6,0,9.5,0.8,3.5,0.238,0,1.3,0,0.8,2.2,0.385,0.238,0,0,0,0.3,1.3,1.7,1.3,0,0,1.3,0.5,1.7
James Bouknight,SG,23,CHO,December,2023,3,0,6,2,3.7,0.545,1.7,3.3,0.5,0.3,0.3,1,0.773,0,0,0,0.3,1,1.3,0,0,0,0.3,0.3,5.7
James Harden,SG,34,LAC,December,2023,24,24,33.5,5.1,11,0.468,2.6,6.1,0.429,2.5,4.8,0.517,0.587,4.4,5,0.868,0.4,4.4,4.8,7.7,1.5,0.8,2.4,2.2,17.3
James Johnson,PF,36,IND,December,2023,3,0,5.3,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0.5,0,0,0,0.3,0.7,1,1.3,0.3,0,0.3,0.7,0.7
James Wiseman,C,22,DET,December,2023,18,0,14.3,3,4.2,0.711,0,0.1,0,3,4.2,0.72,0.711,0.8,1.3,0.625,1.4,2.8,4.2,0.7,0.2,0.6,1,2.2,6.8
Jarace Walker,PF,20,IND,December,2023,8,0,10.5,1.5,3.5,0.429,0.4,1.4,0.273,1.1,2.1,0.529,0.482,0.4,0.4,1,0.1,1.4,1.5,1.4,0.5,0.4,0.4,1.4,3.8
Jared Butler,SG,23,WAS,December,2023,14,0,7.9,1.6,3.1,0.512,0.5,1.5,0.333,1.1,1.6,0.682,0.593,0.9,1.1,0.8,0,0.7,0.7,1.9,0.6,0.1,0.7,1,4.5
Jared Rhoden,SG,24,DET,December,2023,5,0,6,1,1.8,0.556,0.2,0.8,0.25,0.8,1,0.8,0.611,0.4,0.4,1,0.2,0.6,0.8,0.6,0,0,0.4,0.8,2.6
Jaren Jackson Jr.,C,24,MEM,December,2023,28,28,31.3,7.3,15.8,0.463,1.6,5,0.321,5.7,10.8,0.528,0.514,5.2,6.3,0.829,1.5,4.1,5.6,1.6,0.7,1.7,2.1,3.6,21.4
Jarred Vanderbilt,PF,24,LAL,December,2023,10,2,16,0.7,2.5,0.28,0,0.9,0,0.7,1.6,0.438,0.28,0.1,0.2,0.5,1.3,2.9,4.2,0.6,0.4,0.3,0.3,1.9,1.5
Jarrett Allen,C,25,CLE,December,2023,25,25,29.2,5.5,8.2,0.676,0,0,0,5.5,8.1,0.68,0.676,2.2,3.3,0.683,3,5.6,8.6,2.5,0.8,0.9,1.8,2.6,13.3
JaVale McGee,C,36,SAC,December,2023,25,0,8.8,2.1,3.2,0.658,0,0,0,2.1,3.1,0.667,0.658,0.6,1.1,0.556,1,2,3,0.4,0.2,0.6,1,1.3,4.8
Javonte Smart,PG,24,PHI,December,2023,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaxson Hayes,C,23,LAL,December,2023,28,1,10.6,1.2,1.8,0.66,0,0.1,0,1.2,1.6,0.717,0.66,0.5,1,0.536,0.5,1.4,1.9,0.4,0.2,0.4,0.6,1.9,2.9
Jay Huff,C,25,DEN,December,2023,2,0,1,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Jaylen Brown,SF,27,BOS,December,2023,28,28,33.8,8.8,18.5,0.478,2.1,6.4,0.335,6.7,12.1,0.553,0.536,2.9,3.9,0.734,0.9,4,4.9,3.6,1.1,0.6,2.4,2.8,22.6
Jaylen Nowell,SG,24,MEM,December,2023,9,1,17.3,2.4,6.1,0.4,0.4,2.6,0.174,2,3.6,0.563,0.436,0.3,0.3,1,0.3,1.2,1.6,1.8,0.3,0,0.6,1.4,5.7
Jaylin Williams,C,21,OKC,December,2023,22,0,12.5,1.4,3.5,0.395,0.8,2.1,0.362,0.6,1.3,0.448,0.507,0.6,0.6,0.929,0.5,2.8,3.3,1.3,0.3,0.1,0.5,1.6,4.1
Jayson Tatum,PF,25,BOS,December,2023,28,28,36.8,9.2,19.3,0.477,3,8.5,0.347,6.2,10.7,0.58,0.554,5.5,6.9,0.803,0.8,7.7,8.5,4.3,0.9,0.5,2.9,2,26.9
JD Davison,SG,21,BOS,December,2023,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Jeenathan Williams,SG,24,HOU,December,2023,4,0,5.5,1.5,2.8,0.545,0,0.5,0,1.5,2.3,0.667,0.545,0.3,0.5,0.5,0,0,0,0.5,0.3,0,0,0.5,3.3
Jeff Green,PF,37,HOU,December,2023,26,0,15.6,2.1,3.8,0.561,0.3,1.1,0.321,1.8,2.7,0.657,0.607,2.2,2.6,0.838,0.8,1.4,2.2,0.7,0.2,0.5,0.7,1.4,6.8
Jerami Grant,PF,29,POR,December,2023,24,24,35.1,7.5,16.6,0.455,2.5,6.1,0.415,5,10.5,0.478,0.531,4.7,5.8,0.819,0.7,3,3.8,2.5,0.8,0.8,2.3,2.4,22.3
Jeremiah Robinson-Earl,PF,23,NOP,December,2023,13,1,11.8,1.8,3.2,0.548,0.5,1.2,0.438,1.2,2,0.615,0.631,0.5,0.5,1,0.8,1.9,2.7,0.7,0.3,0.1,0.5,0.9,4.5
Jeremy Sochan,PG,20,SAS,December,2023,28,27,29.3,4.2,9.9,0.424,0.9,2.4,0.368,3.3,7.5,0.443,0.469,1.4,1.9,0.741,1.6,4.1,5.7,4.1,0.7,0.3,2.2,2.6,10.8
Jericho Sims,C,25,NYK,December,2023,14,5,7.4,0.7,1.1,0.667,0,0,0,0.7,1.1,0.667,0.667,0.2,0.4,0.6,0.4,1.3,1.7,0.2,0.1,0.1,0.1,1,1.6
Jermaine Samuels,SF,25,HOU,December,2023,6,0,6.3,0.8,1.2,0.714,0,0.3,0,0.8,0.8,1,0.714,0.3,0.3,1,0.2,1.2,1.3,0.3,0.2,0.2,0,0.5,2
Jerome Robinson,SG,26,GSW,December,2023,3,0,3.7,0,1.3,0,0,0.7,0,0,0.7,0,0,1,1.3,0.75,0.3,0.3,0.7,0,0,0,0,0,1
Jett Howard,SF,20,ORL,December,2023,8,0,4.3,0.5,1.9,0.267,0.3,1.4,0.182,0.3,0.5,0.5,0.333,0.1,0.3,0.5,0.1,0.4,0.5,0.4,0,0,0.3,0.1,1.4
Jevon Carter,PG,28,CHI,December,2023,31,0,14.3,2,5.5,0.367,1.2,3.5,0.349,0.8,1.9,0.4,0.479,0.1,0.1,0.667,0.1,0.5,0.7,1.2,0.5,0.3,0.6,1.2,5.3
Jimmy Butler,PF,34,MIA,December,2023,23,23,34,6.7,14.5,0.462,0.9,2.3,0.377,5.8,12.2,0.479,0.492,7.3,8.3,0.879,2,3.2,5.2,4.6,1.1,0.4,1.8,1.1,21.5
Jock Landale,C,28,HOU,December,2023,17,0,8.9,0.6,1.9,0.333,0.1,0.8,0.154,0.5,1.2,0.45,0.364,0.3,0.4,0.833,0.9,1,1.9,0.6,0.3,0.2,0.5,0.8,1.7
Joe Harris,SG,32,DET,December,2023,12,0,11.5,0.8,2.6,0.323,0.6,2,0.292,0.3,0.6,0.429,0.435,0.1,0.2,0.5,0.3,0.7,0.9,0.8,0.3,0.2,0.3,1.3,2.3
Joe Ingles,SF,36,ORL,December,2023,24,0,18.2,1.6,3.9,0.404,1,2.5,0.407,0.6,1.5,0.4,0.532,0.7,0.8,0.895,0.5,2.3,2.8,3.4,0.8,0.1,0.8,1.5,4.9
Joel Embiid,C,29,PHI,December,2023,25,25,34.2,11.8,21.8,0.54,1.1,3.2,0.35,10.6,18.6,0.573,0.566,10.3,11.6,0.893,2.8,8.9,11.7,6,1.2,2,3.8,2.8,35
John Collins,PF,26,UTA,December,2023,26,24,30.2,5.3,11,0.481,1.5,3.6,0.404,3.8,7.4,0.518,0.547,2.1,2.7,0.783,2.4,5.7,8.1,0.8,0.7,0.9,1.5,2.7,14.2
John Konchar,SF,27,MEM,December,2023,23,2,17.7,1.2,3.3,0.373,0.7,2.2,0.34,0.5,1.1,0.44,0.487,0.3,0.3,0.75,1,3.1,4.2,1.4,0.7,0.7,0.5,1.1,3.4
Johnny Davis,SG,21,WAS,December,2023,14,0,9.1,1.4,2.9,0.475,0.1,0.2,0.333,1.3,2.6,0.486,0.488,0.3,0.4,0.8,0.6,0.8,1.4,0.4,0.5,0.1,0.4,0.7,3.1
Johnny Juzang,SG,22,UTA,December,2023,1,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jonas Valančiūnas,C,31,NOP,December,2023,30,30,27.6,5.8,10.1,0.573,0.7,2,0.367,5,8.1,0.624,0.609,2.4,3,0.8,2.4,7.4,9.8,2.6,0.6,1.3,1.6,3.3,14.7
Jonathan Isaac,PF,26,ORL,December,2023,21,0,13.6,2.3,5,0.453,0.6,2.2,0.277,1.7,2.8,0.593,0.514,1.2,1.5,0.781,1.1,3,4.1,0.3,0.9,1.2,0.6,1.3,6.4
Jonathan Kuminga,PF,21,GSW,December,2023,29,8,21.7,4.6,9.2,0.504,0.7,2.3,0.309,3.9,6.8,0.571,0.543,2.5,3.8,0.67,1.1,2.7,3.8,1.2,0.6,0.3,1.2,2.3,12.5
Jordan Clarkson,SG,31,UTA,December,2023,20,19,30.8,6.3,15.5,0.406,1.8,5.7,0.307,4.6,9.8,0.464,0.463,3,3.5,0.843,1.3,2.1,3.4,5,0.9,0.2,3,1.4,17.3
Jordan Ford,PG,25,SAC,December,2023,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1,0,0.3,0.3,0.3,0,0,0.2,0,2
Jordan Goodwin,PG,25,PHO,December,2023,29,0,17.9,2.2,6,0.368,0.8,2.7,0.299,1.4,3.3,0.423,0.434,0.8,0.9,0.852,1.3,2.7,3.9,2.5,0.7,0.3,0.9,1.4,6
Jordan Hawkins,SG,21,NOP,December,2023,27,9,23.9,3.5,9.2,0.382,2.2,6,0.362,1.3,3.2,0.419,0.5,1.5,1.7,0.87,0.6,2.5,3.1,1.5,0.4,0,0.8,1.7,10.7
Jordan McLaughlin,PG,27,MIN,December,2023,10,0,3.6,0.2,0.5,0.4,0.2,0.3,0.667,0,0.2,0,0.6,0.2,0.2,1,0,0,0,1,0.1,0.3,0,0.2,0.8
Jordan Miller,SF,24,LAC,December,2023,3,0,4,0.7,1,0.667,0.3,0.3,1,0.3,0.7,0.5,0.833,0,0,0,0,0.3,0.3,0,0,0,0.3,0.7,1.7
Jordan Nwora,SF,25,IND,December,2023,10,0,11.8,2.7,5.6,0.482,0.8,2.4,0.333,1.9,3.2,0.594,0.554,0.6,0.7,0.857,0.7,1.5,2.2,1.1,0.5,0.1,1,1.2,6.8
Jordan Poole,SG,24,WAS,December,2023,27,27,29.4,6.2,15.1,0.408,2,6.5,0.313,4.1,8.6,0.481,0.476,3.1,3.5,0.874,0.4,2.1,2.5,3.6,1.1,0.3,2.8,3.1,17.5
Jose Alvarado,PG,25,NOP,December,2023,16,0,16.4,2.3,5.5,0.42,1.2,3,0.396,1.1,2.5,0.45,0.528,0.8,1.3,0.6,0.5,2,2.5,2,1,0.4,0.9,1.6,6.6
Josh Giddey,SG,21,OKC,December,2023,26,26,25.2,5,11.4,0.436,0.9,2.6,0.343,4.1,8.8,0.463,0.475,1,1.2,0.806,1.6,4.4,6,4.3,0.8,0.4,2.5,1.3,11.8
Josh Green,SG,23,DAL,December,2023,18,5,25.2,2.6,6.1,0.422,1.3,3.5,0.365,1.3,2.6,0.5,0.528,0.5,0.9,0.529,0.6,2.3,2.9,2.4,0.9,0.2,0.9,1.7,6.9
Josh Hart,SF,28,NYK,December,2023,29,5,27.8,3,6.6,0.461,1,2.9,0.337,2.1,3.7,0.556,0.534,0.6,0.8,0.783,1,4.8,5.8,2.8,1,0.2,1.1,1.9,7.7
Josh Minott,SF,21,MIN,December,2023,11,0,2.5,0.7,1.3,0.571,0,0.5,0,0.7,0.8,0.889,0.571,0.4,0.5,0.667,0.1,0.2,0.3,0.1,0,0.1,0,0.4,1.8
Josh Okogie,SG,25,PHO,December,2023,24,11,21,1.9,4.7,0.398,0.6,2.3,0.259,1.3,2.5,0.525,0.46,2,2.6,0.758,1.6,1.7,3.3,1.2,1,0.5,0.8,1.4,6.3
Josh Richardson,SG,30,MIA,December,2023,24,4,27.8,3.6,8.3,0.437,1.5,4.5,0.327,2.2,3.8,0.565,0.525,1.3,1.5,0.914,0.5,2.3,2.7,3,0.6,0.3,1,1.7,10
Joshua Primo,SG,21,LAC,December,2023,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,0,0,0,0,0,0,1,3,0,2
Jrue Holiday,PG,33,BOS,December,2023,27,27,34.4,5,10.8,0.466,1.9,4.6,0.419,3.1,6.2,0.5,0.555,1.1,1.3,0.857,1.7,5,6.7,4.9,0.9,0.9,2,1.8,13.1
JT Thor,PF,21,CHO,December,2023,23,1,15.7,1.3,3.4,0.372,0.5,1.8,0.293,0.7,1.6,0.459,0.449,0.1,0.3,0.429,0.8,1.7,2.5,0.4,0.3,0.4,0.3,1.2,3.2
Juan Toscano-Anderson,SF,30,SAC,December,2023,4,0,3.3,0.3,0.8,0.333,0,0.3,0,0.3,0.5,0.5,0.333,0,0,0,0.3,0.5,0.8,0.5,0,0,0.3,1,0.5
Jules Bernard,SG,24,WAS,December,2023,2,0,5,0.5,2.5,0.2,0,1.5,0,0.5,1,0.5,0.2,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,1
Julian Champagnie,SF,22,SAS,December,2023,21,6,13.1,1.8,4.4,0.409,1.3,3.3,0.406,0.5,1.1,0.417,0.559,0.5,0.6,0.769,0.3,1.3,1.6,0.8,0.4,0.6,0.7,0.8,5.4
Julian Phillips,SF,20,CHI,December,2023,17,0,4.4,0.3,1.1,0.278,0,0.5,0,0.3,0.5,0.556,0.278,0.1,0.2,0.25,0.1,0.5,0.6,0.4,0.1,0,0.1,0.6,0.6
Julian Strawther,SF,21,DEN,December,2023,29,0,13.8,2.1,5.6,0.383,1.2,3.5,0.337,1,2.1,0.459,0.488,0.4,0.7,0.684,0.1,1.4,1.5,1.1,0.5,0.2,0.3,1.3,5.9
Julius Randle,PF,29,NYK,December,2023,29,29,35.4,8.3,17.8,0.464,1.5,5.1,0.293,6.8,12.8,0.532,0.506,4.8,6.2,0.773,2,7.4,9.4,4.9,0.6,0.2,3.2,2.7,22.9
Justin Holiday,SG,34,DEN,December,2023,17,6,15.3,1.7,3.2,0.527,1.1,2.2,0.474,0.6,1,0.647,0.691,0,0,0,0.2,1.2,1.5,1.2,0.6,0.1,0.3,1.3,4.5
Justin Minaya,SF,24,POR,December,2023,6,0,6.3,0.3,1,0.333,0.3,0.7,0.5,0,0.3,0,0.5,0.2,0.3,0.5,0.7,0.2,0.8,0,0,0.2,0.2,0.3,1.2
Jusuf Nurkić,C,29,PHO,December,2023,27,27,28.5,4.5,9.7,0.464,0.6,2.4,0.266,3.9,7.3,0.528,0.496,2.6,3.6,0.711,3,7.3,10.3,3.9,1,1.2,2.1,3.6,12.1
Kaiser Gates,SF,27,NOP,December,2023,1,0,7,0,4,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Karl-Anthony Towns,PF,28,MIN,December,2023,27,27,33.3,8,15.6,0.515,2,4.7,0.421,6.1,10.9,0.556,0.578,4.1,4.6,0.896,1.6,7.9,9.5,3,0.9,0.6,2.8,3.3,22.2
Kawhi Leonard,SF,32,LAC,December,2023,27,27,34.5,9,17.3,0.521,2.3,5.4,0.429,6.7,11.9,0.564,0.589,4,4.5,0.877,1.1,4.9,5.9,3.5,1.5,0.7,1.5,1.5,24.4
Keegan Murray,SF,23,SAC,December,2023,24,24,32.4,6,13,0.457,2.6,7,0.375,3.3,6,0.552,0.558,1.7,2,0.851,1.4,4.1,5.5,1.7,1.2,0.4,1,2.8,16.2
Keita Bates-Diop,SF,28,PHO,December,2023,22,8,17.6,1.9,4.7,0.398,0.5,1.8,0.25,1.4,2.9,0.492,0.447,1,1.5,0.719,0.9,2.2,3.1,0.9,0.5,0.7,0.3,0.9,5.2
Keldon Johnson,SF,24,SAS,December,2023,27,26,32.7,6.3,13.6,0.466,1.9,5.4,0.347,4.4,8.1,0.545,0.535,2.6,3.5,0.755,1.3,5.1,6.4,3.9,0.9,0.3,1.8,2.4,17.2
Kelly Olynyk,C,32,UTA,December,2023,28,7,21.9,2.8,5.1,0.549,0.8,2,0.418,2,3.2,0.629,0.628,1.4,1.6,0.889,1.4,4.1,5.5,4.5,0.9,0.3,1.8,2.8,7.9
Kelly Oubre Jr.,SF,28,PHI,December,2023,18,8,26.2,5.1,10.6,0.484,1.8,4.7,0.376,3.3,5.8,0.571,0.568,1.7,2.4,0.698,1.1,3.2,4.3,0.7,1.2,0.3,0.7,2.4,13.7
