player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
RJ Barrett,SG,23,TOR,12,12,33.4,8,14.3,0.558,1.5,4,0.375,6.5,10.3,0.629,0.61,3.4,5.2,0.661,1,6.2,7.2,3.4,0.6,0.4,1.7,3.1,20.9
Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,0.725,0,0.1,0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4,1.1,0.4,0.9,0.8,1.6,3.3
Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,0.24,0.5,2,0.25,0.1,0.5,0.2,0.34,0.1,0.2,0.5,0.1,0.9,1,0.6,0.1,0.2,0.1,0.5,1.8
Keita Bates-Diop,SF,28,PHO,33,8,15.9,1.7,4.1,0.41,0.5,1.7,0.281,1.2,2.3,0.506,0.47,0.8,1,0.735,0.8,1.8,2.6,0.9,0.6,0.5,0.2,1,4.6
Nicolas Batum,PF,35,TOT,31,24,25,2.1,4,0.524,1.3,2.9,0.456,0.8,1.1,0.706,0.69,0.3,0.5,0.643,1.3,2.6,3.9,2.4,0.7,0.8,0.6,2,5.8
Nicolas Batum,PF,35,LAC,3,0,18,1,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1,0.5,0,0,0,0,2.3,2.3,1.7,1,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,28,24,25.7,2.2,4.1,0.534,1.4,3,0.47,0.8,1.2,0.697,0.703,0.3,0.5,0.643,1.4,2.6,4,2.5,0.7,0.8,0.6,2,6.1
Bradley Beal,SG,30,PHO,20,20,32.5,7.2,14,0.513,1.6,4,0.392,5.6,10,0.56,0.568,2.3,3,0.763,0.8,3.5,4.3,4.2,0.8,0.4,2.1,2.7,18.1
Malik Beasley,SG,27,MIL,42,42,29.4,4.2,8.6,0.488,2.9,6.2,0.471,1.3,2.5,0.529,0.656,0.3,0.4,0.75,0.6,3.4,4,1.4,0.7,0.1,0.7,2.1,11.6
MarJon Beauchamp,SF,23,MIL,34,1,15.7,1.9,4,0.474,0.7,1.8,0.403,1.1,2.1,0.534,0.567,0.4,0.6,0.6,0.6,1.9,2.5,0.9,0.3,0.2,0.7,1.4,4.9
Jules Bernard,SG,24,WAS,3,0,5,0.3,2.7,0.125,0,2,0,0.3,0.7,0.5,0.125,0,0,0,0.3,0,0.3,0.3,0,0,0.3,1,0.7
Dāvis Bertāns,PF,31,OKC,14,0,6.5,0.7,1.9,0.385,0.7,1.7,0.417,0,0.1,0,0.577,1,1.1,0.933,0.1,0.6,0.7,0.6,0.2,0.2,0.1,0.7,3.1
Patrick Beverley,PG,35,PHI,39,1,18.5,1.9,4.5,0.423,0.7,2.2,0.314,1.2,2.3,0.528,0.5,0.9,1.2,0.761,0.7,2.4,3.1,2.6,0.5,0.3,0.8,1.7,5.4
Saddiq Bey,SF,24,ATL,44,32,32.3,4.3,10.5,0.413,1.8,5.6,0.316,2.6,4.9,0.523,0.497,2.3,2.7,0.825,2.5,4,6.4,1.4,1,0.1,0.9,1.6,12.7
Goga Bitadze,C,24,ORL,39,31,20.7,2.8,4.6,0.615,0.1,0.3,0.2,2.8,4.3,0.639,0.62,1.2,1.7,0.676,2.5,3.9,6.4,1.7,0.7,1.6,0.8,2.4,6.9
Onuralp Bitim,SG,24,CHI,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4,0.563,0,0,0,2.2,4,0.563,0.563,0.7,1.5,0.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
Anthony Black,PG,20,ORL,41,29,19.2,1.9,3.9,0.491,0.5,1.4,0.351,1.4,2.5,0.567,0.553,0.8,1.2,0.627,0.5,1.8,2.4,1.7,0.6,0.4,1,2,5.1
Leaky Black,SF,24,CHO,13,0,5.2,0.7,1.1,0.643,0.2,0.4,0.6,0.5,0.7,0.667,0.75,0.2,0.3,0.5,0.2,0.7,0.9,0.4,0.2,0.3,0.2,0.2,1.8
Bogdan Bogdanović,SG,31,ATL,42,5,28.3,6,14,0.427,3.1,8.4,0.364,2.9,5.5,0.522,0.537,1.8,2,0.905,0.5,2.6,3.1,2.6,1.3,0.2,1.1,2.4,16.8
Bojan Bogdanović,PF,34,DET,23,22,33.1,7.2,15.4,0.469,3,7.3,0.417,4.2,8.1,0.516,0.568,2.7,3.6,0.747,0.6,3,3.6,2.7,0.9,0.1,2.2,2.3,20.2
Bol Bol,PF,24,PHO,12,0,7.2,1.4,1.9,0.739,0.3,0.4,0.6,1.2,1.5,0.778,0.804,0.3,0.4,0.8,0.8,1.5,2.3,0.5,0.3,0.5,0.5,0.8,3.4
Marques Bolden,C,25,MIL,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0
Devin Booker,PG,27,PHO,35,35,36.1,9.5,19.1,0.494,2.2,5.8,0.381,7.3,13.4,0.543,0.551,6.1,6.9,0.881,0.7,4.2,4.9,7.5,0.9,0.3,2.7,3,27.2
Brandon Boston Jr.,SF,22,LAC,8,0,7.4,1.6,4,0.406,0.5,1.8,0.286,1.1,2.3,0.5,0.469,0.8,0.8,1,0.4,0.6,1,0.5,0.1,0,0.4,1.3,4.5
Chris Boucher,PF,31,TOR,41,0,14.2,2.1,4.4,0.47,0.7,2,0.333,1.4,2.4,0.58,0.544,1.3,1.8,0.75,1.2,2.9,4,0.4,0.3,0.5,0.5,1.4,6.1
James Bouknight,SG,23,CHO,10,0,6.4,1.4,3,0.467,1.1,2.2,0.5,0.3,0.8,0.375,0.65,0.1,0.2,0.5,0.1,0.8,0.9,0.6,0,0.1,0.1,0.2,4
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,0.238,0,1.3,0,0.8,2.2,0.385,0.238,0,0,0,0.3,1.3,1.7,1.3,0,0,1.3,0.5,1.7
Malaki Branham,PG,20,SAS,42,21,21,3.4,7.9,0.433,1,3.1,0.308,2.5,4.8,0.515,0.494,0.6,0.6,0.926,0.3,1.7,2,2.3,0.4,0.1,1.2,1.3,8.4
Christian Braun,SG,22,DEN,45,0,19.1,2.7,6,0.454,0.7,1.9,0.365,2,4.1,0.495,0.511,1.2,1.7,0.718,0.7,2.8,3.6,1.5,0.4,0.4,0.7,1.6,7.4
Mikal Bridges,SF,27,BRK,43,43,34.9,7.6,16.8,0.455,2.3,6.2,0.363,5.4,10.6,0.509,0.522,4.2,5,0.839,0.9,4.3,5.2,3.8,0.9,0.5,2.3,1.6,21.7
Miles Bridges,SF,25,CHO,31,29,37,7.9,17.4,0.455,2.3,6.5,0.355,5.6,10.8,0.516,0.522,2.7,3.1,0.866,0.8,6.4,7.1,2.9,1.1,0.5,2,2,20.8
Oshae Brissett,SF,25,BOS,26,0,12.1,1.4,3.1,0.463,0.4,1.3,0.303,1,1.8,0.574,0.525,1,1.5,0.684,1.2,1.9,3,0.7,0.5,0.1,0.3,1.2,4.2
Malcolm Brogdon,PG,31,POR,35,21,28,5.5,12.7,0.437,2.2,5.1,0.422,3.4,7.5,0.447,0.523,2.4,2.9,0.816,0.6,2.9,3.5,5.3,0.7,0.2,1.5,1.4,15.7
Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,0.326,1.1,3.2,0.344,0.4,1.4,0.286,0.446,0.1,0.2,0.5,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
Dillon Brooks,SF,28,HOU,34,34,31.5,5,10.9,0.463,1.9,4.8,0.396,3.1,6,0.517,0.551,1.8,2.1,0.833,0.7,2.8,3.5,1.6,1,0.1,1.6,3.6,13.7
Bruce Brown,SG-PG,27,TOT,36,33,29.1,4.5,9.4,0.481,1,3,0.324,3.5,6.4,0.555,0.533,1.9,2.3,0.821,0.8,3.9,4.6,2.9,1,0.3,1.3,2.5,11.9
Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,0.475,1,3.1,0.327,3.5,6.5,0.545,0.527,2,2.5,0.817,0.8,3.9,4.7,3,1.1,0.2,1.2,2.5,12.1
Bruce Brown,PG,27,TOR,3,0,22.7,4.3,7.7,0.565,0.7,2.3,0.286,3.7,5.3,0.688,0.609,0.7,0.7,1,1,3.3,4.3,1,0.7,0.3,1.3,3,10
Charlie Brown Jr.,SG,26,NYK,3,0,1.7,0.3,1.3,0.25,0.3,1,0.333,0,0.3,0,0.375,0,0,0,0,0,0,0,0,0,0.7,0,1
Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,0.455,0.2,0.5,0.333,0.7,1.3,0.5,0.5,0.7,1.5,0.444,0.5,1,1.5,0.7,0,0.7,0.7,0.8,2.5
Jaylen Brown,SF,27,BOS,41,41,33.6,8.9,18,0.493,2.1,6,0.358,6.7,12,0.561,0.553,3.2,4.4,0.718,0.9,4.3,5.2,3.6,1.1,0.6,2.5,2.6,23.1
Kendall Brown,SG,20,IND,3,0,5.7,0.7,1.7,0.4,0,0.3,0,0.7,1.3,0.5,0.4,1.3,2,0.667,0.7,0,0.7,0.3,0,0,0,1.3,2.7
Kobe Brown,PF,24,LAC,26,0,9.7,0.8,2.2,0.393,0.4,1.4,0.306,0.4,0.8,0.55,0.491,0,0.1,0.5,0.2,1.1,1.3,0.6,0.2,0.1,0.2,1.4,2.2
Moses Brown,C,24,POR,9,4,9.1,1,2.3,0.429,0,0,0,1,2.3,0.429,0.429,0,0.4,0,2,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2
Troy Brown Jr.,SF,24,MIN,34,3,11.6,1.5,3.3,0.442,0.9,2.4,0.37,0.6,0.9,0.625,0.575,0.6,0.6,0.864,0.4,1.6,2,1,0.2,0.1,0.5,0.7,4.4
Jalen Brunson,PG,27,NYK,42,42,35.8,9.4,19.7,0.475,2.8,6.7,0.423,6.5,13,0.502,0.547,5.1,6.1,0.832,0.6,3.3,3.9,6.5,1,0.2,2.4,2.1,26.6
Thomas Bryant,C,26,MIA,23,3,10.6,1.8,3.2,0.562,0,0.1,0,1.8,3,0.586,0.562,0.7,0.9,0.85,1,2.1,3.1,0.6,0.3,0.2,0.7,1.1,4.3
Kobe Bufkin,SG,20,ATL,2,0,2,0,1.5,0,0,0.5,0,0,1,0,0,0.5,1,0.5,0.5,0.5,1,0,0,0,0,0,0.5
Reggie Bullock,SF,32,HOU,17,0,9.3,0.8,2.1,0.4,0.6,1.5,0.385,0.2,0.5,0.444,0.543,0.1,0.1,1,0.1,1.3,1.4,0.5,0.1,0.1,0.2,0.5,2.3
Alec Burks,SG,32,DET,37,0,20.5,3.8,9.7,0.391,2.4,5.9,0.402,1.4,3.8,0.374,0.514,2.8,3.1,0.895,0.4,1.9,2.3,1.5,0.4,0.2,0.7,1.5,12.7
Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,0.56,0.6,1.4,0.417,1.1,1.5,0.692,0.66,0.7,0.9,0.8,0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6
Jimmy Butler,PF,34,MIA,29,29,33.7,6.4,13.4,0.481,0.8,2.1,0.4,5.6,11.3,0.495,0.512,7.1,8.1,0.881,1.9,3,5,4.4,1.1,0.3,1.8,1.1,20.9
Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,0.439,0.6,1.8,0.32,1.5,2.9,0.512,0.5,1,1.4,0.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7
Kentavious Caldwell-Pope,SG,30,DEN,43,43,32.5,3.6,7.9,0.456,1.5,3.8,0.396,2.1,4.1,0.511,0.551,1.5,1.6,0.9,0.5,1.9,2.4,2.4,1.5,0.5,1,1.9,10.2
Toumani Camara,PF,23,POR,43,29,24.3,2.5,6.1,0.407,0.7,2.7,0.281,1.7,3.5,0.503,0.468,1,1.4,0.689,1.9,3,4.9,1,1,0.5,1.1,2.7,6.7
Clint Capela,C,29,ATL,42,42,25.9,4.6,8.2,0.567,0,0,0,4.6,8.2,0.567,0.567,1.9,2.9,0.658,4.7,5.7,10.4,1,0.6,1.6,0.9,2.5,11.2
Jevon Carter,PG,28,CHI,43,0,14.1,2,5.5,0.369,1.2,3.5,0.344,0.8,2,0.412,0.479,0.1,0.1,0.6,0.1,0.7,0.8,1.2,0.5,0.3,0.5,1.1,5.3
Wendell Carter Jr.,C,24,ORL,18,12,24.8,3.9,7.7,0.507,1.1,2.6,0.435,2.8,5.1,0.543,0.58,1.8,2.4,0.744,1.8,4.8,6.7,1.6,0.5,0.5,1.2,2.1,10.7
Alex Caruso,SG,29,CHI,38,26,25.7,3.5,7.1,0.491,1.8,4.3,0.42,1.7,2.9,0.596,0.616,1.1,1.5,0.768,1,2.6,3.5,2.6,1.3,0.9,1.3,2.4,9.9
Colin Castleton,C,23,LAL,5,0,6.4,1.2,1.8,0.667,0,0,0,1.2,1.8,0.667,0.667,0.8,0.8,1,0.8,1,1.8,0.6,0,0,0.2,1.2,3.2
Malcolm Cazalon,SG,22,DET,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Champagnie,SF,22,SAS,37,22,15.6,2,4.8,0.412,1.4,3.6,0.402,0.5,1.2,0.444,0.562,0.8,0.9,0.882,0.4,1.8,2.2,1,0.6,0.5,0.7,1.1,6.2
Max Christie,SG,20,LAL,35,6,17.4,1.8,4.5,0.404,0.7,2.2,0.325,1.1,2.3,0.481,0.484,0.6,0.8,0.786,0.3,2.5,2.7,1.1,0.4,0.3,0.8,1.3,4.9
Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,0.167,0,0.8,0,0.2,0.4,0.5,0.167,0.8,0.8,1,0,1.2,1.2,0,0.6,0,0.2,0.4,1.2
Jordan Clarkson,SG,31,UTA,35,19,30.1,6.5,15.3,0.421,1.8,5.7,0.313,4.7,9.7,0.484,0.479,3.4,3.8,0.887,1.1,2.6,3.7,5,0.7,0.1,2.9,1.3,18.1
Nic Claxton,C,24,BRK,33,33,29.3,5.4,8.4,0.637,0,0.1,0.5,5.3,8.4,0.638,0.638,1.6,2.8,0.574,3.2,7.2,10.3,1.7,0.7,2.2,1.2,2.5,12.4
Noah Clowney,PF,19,BRK,2,0,13.5,3,4.5,0.667,0,0.5,0,3,4,0.75,0.667,1,1,1,1.5,1,2.5,1,0,0,0.5,1.5,7
Amir Coffey,SF,26,LAC,30,6,15.7,1.7,3.1,0.559,0.7,1.6,0.438,1,1.5,0.689,0.672,0.4,0.5,0.813,0.4,1.2,1.6,0.6,0.3,0,0.4,1.1,4.6
John Collins,PF,26,UTA,41,39,27.5,5.3,10.6,0.499,1.3,3.6,0.356,4,6.9,0.574,0.56,2,2.4,0.8,2,5.7,7.6,1,0.6,0.8,1.5,2.8,13.8
Zach Collins,C,26,SAS,35,24,25.5,4.7,9.8,0.484,1,3.4,0.3,3.7,6.4,0.583,0.536,1.9,2.5,0.764,1.9,3.9,5.7,3.3,0.6,0.7,2.3,3.3,12.5
Mike Conley,PG,36,MIN,41,41,29.2,3.7,8.3,0.445,2.3,5.3,0.438,1.3,2.9,0.458,0.587,1.2,1.3,0.923,0.4,2.4,2.8,6.4,1,0.2,1.1,1.7,10.9
Pat Connaughton,SF,31,MIL,38,0,21.3,1.9,4.4,0.443,1.2,3.2,0.375,0.8,1.2,0.617,0.578,0.4,0.5,0.737,0.6,2.6,3.2,1.7,0.4,0.2,0.5,1.2,5.4
Bilal Coulibaly,SF,19,WAS,42,1,26.2,3,6.5,0.469,1,2.6,0.387,2,3.8,0.525,0.548,1.1,1.8,0.649,0.8,3.3,4.1,1.8,0.8,0.8,1.4,2.1,8.2
Ricky Council IV,SG,22,PHI,4,0,2.3,0,0.5,0,0,0.3,0,0,0.3,0,0,0.3,0.5,0.5,0,0,0,0,0,0,0,0.3,0.3
Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,0.439,0.7,1.9,0.339,0.8,1.4,0.571,0.536,0.8,0.9,0.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4
Robert Covington,PF,33,LAC,3,3,23,1,3,0.333,0.7,2.7,0.25,0.3,0.3,1,0.444,0.3,0.7,0.5,0.7,2,2.7,2.3,2,0.7,0,2.3,3
Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,0.449,0.7,1.8,0.354,0.9,1.6,0.561,0.545,0.8,0.9,0.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5
Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,0.424,1.1,2.8,0.382,1.1,2.3,0.476,0.529,0.7,0.9,0.783,1.9,3,4.8,1,0.6,0.4,0.6,2.5,6.1
Jae Crowder,PF,33,MIL,13,2,23.3,2.5,5.5,0.465,1.7,3.8,0.449,0.8,1.7,0.5,0.62,0.6,1.1,0.571,0.4,2.9,3.3,1.3,0.7,0.2,0.6,1.5,7.4
Cade Cunningham,PG,22,DET,36,36,34.5,8.5,19,0.449,1.9,5.6,0.335,6.7,13.4,0.496,0.498,3.9,4.5,0.87,0.4,3.6,4.1,7.3,1,0.3,3.8,2.8,22.8
Seth Curry,SG,33,DAL,33,3,12.8,1.5,4,0.364,0.8,2.2,0.378,0.6,1.8,0.345,0.47,0.4,0.5,0.875,0.4,1,1.4,0.8,0.5,0.1,0.4,0.9,4.2
Stephen Curry,PG,35,GSW,38,38,33.2,8.4,18.9,0.446,4.5,11.3,0.401,3.9,7.6,0.512,0.565,5.3,5.7,0.926,0.4,3.7,4.2,5,0.8,0.4,3,1.9,26.7
Dyson Daniels,PG,20,NOP,44,14,22.2,2.2,5.1,0.425,0.6,2.2,0.276,1.6,2.9,0.539,0.485,0.7,1.1,0.646,1,2.8,3.8,2.7,1.3,0.3,0.9,1.7,5.7
Anthony Davis,C,30,LAL,43,43,35.9,9.4,16.9,0.558,0.3,1.1,0.304,9.1,15.8,0.576,0.568,5.7,7,0.815,3.2,9,12.2,3.7,1.2,2.4,2.2,2.5,25
Johnny Davis,SG,21,WAS,19,0,7.9,1.1,2.5,0.438,0.1,0.2,0.333,1.1,2.4,0.444,0.448,0.2,0.3,0.8,0.5,0.6,1.1,0.3,0.4,0.1,0.3,0.6,2.5
JD Davison,SG,21,BOS,2,0,3,0,0.5,0,0,0.5,0,0,0,0,0,1,1,1,0.5,0.5,1,0,0,0,0,0,1
Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,0.526,0.3,2,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2,2.3,1,0,0.3,0.8,0.3,5.5
DeMar DeRozan,SF,34,CHI,43,43,37.1,7.7,16.7,0.461,1,2.9,0.339,6.7,13.8,0.487,0.49,5.5,6.6,0.844,0.6,3.5,4,5.3,1.1,0.7,1.4,2.2,21.9
Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,0.5,0,0,0,0.9,1.8,0.5,0.5,0.9,1.2,0.75,1.4,0.6,2,0.4,0.4,0,0.2,0.4,2.7
Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,0.8,0,0,0,1.3,1.7,0.8,0.8,1.3,2,0.667,0.3,0.7,1,0.7,0,0.3,0,0.3,4
Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0,0,0,1,0,1,0.5,1,0,0.5,0.5,1
